experiment,seq,auc,pauc
baseline,all,0.7324146303597988,0.5986283509507951
no_obj,all,0.5263708540667575,0.5530445611375041
no_seg,all,0.7320296462815293,0.5834323693231328
obj_half,all,0.6910726408150781,0.5780852236280636
obj_half_half_,all,0.7092230553464742,0.5923229025398816
obj_half_seg_quart_,all,0.7045479425259923,0.5833073171501351
obj_quart_seg_half,all,0.6612891450983915,0.5898131850104178
obj_quart_seg_quart,all,0.6488658405148338,0.574913517213253
obj_quarter,all,0.6394836030022251,0.5776617294769224
seg_half,all,0.756400354878429,0.6223041019678089
seg_quarter,all,0.7535116207605842,0.6146767822426489
seg_sixth,all,0.7434116344841719,0.590789946936704
baseline,1,0.7287506374298827,0.6249457004173985
baseline,2,0.8352722879303922,0.7081132590069714
baseline,3,0.8447032056194436,0.6948020766653478
baseline,4,0.8056529008909961,0.6433979502762571
baseline,5,0.43117030939047535,0.49641930598622874
baseline,6,0.647293413876019,0.6110862612630357
baseline,7,0.7940699711672438,0.6550139582942016
no_obj,1,0.4687948325684175,0.5368009518952915
no_obj,2,0.47111940224043425,0.5843008935276344
no_obj,3,0.5024144283093079,0.5393927078781029
no_obj,4,0.7184085755514327,0.6139653017959896
no_obj,5,0.3130756236404869,0.5047330661873981
no_obj,6,0.5582444939107174,0.5854544453654936
no_obj,7,0.5916190807688594,0.5359266601178944
no_seg,1,0.8040013598504164,0.7581354939845506
no_seg,2,0.8344465934489915,0.702216431181594
no_seg,3,0.8466033214153044,0.7000801760982945
no_seg,4,0.7729219633981539,0.6043325672955303
no_seg,5,0.5563915918452353,0.5036554190257273
no_seg,6,0.6346557342896684,0.5154115742714301
no_seg,7,0.7629530520592022,0.6242995280969332
obj_half,1,0.5014176440591535,0.5422214667497687
obj_half,2,0.8383854804161567,0.7203125092390565
obj_half,3,0.8456230957543935,0.7013134051280205
obj_half,4,0.7931056597723265,0.6839266945087051
obj_half,5,0.41140168695330215,0.508457264363915
obj_half,6,0.6162246360129444,0.5631839239865031
obj_half,7,0.6808165071508845,0.5781342725881057
obj_half_half_,1,0.4980316165221826,0.5006515949912176
obj_half_half_,2,0.8380532901388962,0.7227742558494314
obj_half_half_,3,0.8430082205391399,0.6946317856369977
obj_half_half_,4,0.7926842117318309,0.6836467471388106
obj_half_half_,5,0.43159045679640856,0.5152074237772738
obj_half_half_,6,0.6183683366056352,0.5707589941131633
obj_half_half_,7,0.6786776620953783,0.5740956763364229
obj_half_seg_quart_,1,0.505823559408465,0.49383345609760704
obj_half_seg_quart_,2,0.8451382144377627,0.7382171078500938
obj_half_seg_quart_,3,0.8505615434452048,0.7146672988746412
obj_half_seg_quart_,4,0.7895645800407706,0.6782132231867681
obj_half_seg_quart_,5,0.4668785000231407,0.5291601101494886
obj_half_seg_quart_,6,0.6164924891698915,0.5529570687021951
obj_half_seg_quart_,7,0.644044794238967,0.5477517247713972
obj_quart_seg_half,1,0.48790753017168115,0.5009348971613122
obj_quart_seg_half,2,0.8256778510989303,0.7131076619865302
obj_quart_seg_half,3,0.7395573709262944,0.6129203486894242
obj_quart_seg_half,4,0.7355917451155546,0.6499512637078775
obj_quart_seg_half,5,0.35940031008469475,0.5076176123478502
obj_quart_seg_half,6,0.5625529031868398,0.5644813681091152
obj_quart_seg_half,7,0.6326831415924978,0.5681455967524504
obj_quart_seg_quart,1,0.5045724970253271,0.4950044384006648
obj_quart_seg_quart,2,0.8318780433452184,0.7245696355081332
obj_quart_seg_quart,3,0.7361960072587969,0.598417326742469
obj_quart_seg_quart,4,0.736581231819327,0.6501039622732745
obj_quart_seg_quart,5,0.4060822302957375,0.523696345834426
obj_quart_seg_quart,6,0.5652384374532242,0.5567176142045038
obj_quart_seg_quart,7,0.5831753253368509,0.5444021335862287
obj_quarter,1,0.4905048444671086,0.54267475022192
obj_quarter,2,0.8255676753499015,0.7090655747580107
obj_quarter,3,0.7327011801991496,0.6014493799822416
obj_quarter,4,0.7385968528825672,0.651440074720498
obj_quarter,5,0.3364606956079048,0.5036258504188458
obj_quarter,6,0.5623673317186282,0.5591685581242809
obj_quarter,7,0.632598908982088,0.5666712681401522
seg_half,1,0.7937310895801462,0.7431204789695356
seg_half,2,0.8402002620935554,0.7223423299570125
seg_half,3,0.8466312228187953,0.7001576799968805
seg_half,4,0.7937424127900318,0.6452557828219203
seg_half,5,0.4538553767297635,0.5034659549631549
seg_half,6,0.6486493110659243,0.6033098636001079
seg_half,7,0.7966539225601196,0.6598042734806914
seg_quarter,1,0.8046098929117798,0.7655580108410298
seg_quarter,2,0.8475408772816774,0.7386076889645753
seg_quarter,3,0.8445272353959825,0.6943132704890671
seg_quarter,4,0.8005359719645434,0.6562755292914023
seg_quarter,5,0.48804423913546535,0.5190296483135609
seg_quarter,6,0.6525261791447432,0.5921580687651221
seg_quarter,7,0.7968857280509716,0.673119326789985
seg_sixth,1,0.8022165561788203,0.7739437550758306
seg_sixth,2,0.8349933146187004,0.705086313113843
seg_sixth,3,0.866062787626201,0.754134248906341
seg_sixth,4,0.7901555234888568,0.6370482349318328
seg_sixth,5,0.5813386576109595,0.5153600877801947
seg_sixth,6,0.6564844535751831,0.5935984846163879
seg_sixth,7,0.7996173849740696,0.6869099664083592
